"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"03/02/2026","IMODIUM MULTI-SYMPTOM RELIEFNDA   #021140","SUPPL-39","LOPERAMIDE HYDROCHLORIDE; SIMETHICONE","KENVUE BRANDS","Manufacturing (CMC)","Approval"
"03/02/2026","METRONIDAZOLEANDA  #070772","SUPPL-50","METRONIDAZOLE","INNOGENIX","Labeling","Approval"
"03/02/2026","ONDANSETRON HYDROCHLORIDEANDA  #078539","SUPPL-16","ONDANSETRON HYDROCHLORIDE","AUROBINDO PHARMA","Labeling","Approval"
"03/02/2026","BOSULIFNDA   #203341","SUPPL-27","BOSUTINIB MONOHYDRATE","PF PRISM CV","Labeling","Approval"
"03/02/2026","MOXIFLOXACIN HYDROCHLORIDEANDA  #209143","ORIG-1","MOXIFLOXACIN HYDROCHLORIDE","MACLEODS PHARMS LTD","","Approval"
"03/02/2026","EFINACONAZOLEANDA  #212211","ORIG-1","EFINACONAZOLE","TARO PHARMACEUTICALS INC","","Tentative Approval"
"03/02/2026","BOSULIFNDA   #217729","SUPPL-2","BOSUTINIB MONOHYDRATE","PF PRISM CV","Labeling","Approval"
"03/02/2026","RIVAROXABANANDA  #218427","ORIG-1","RIVAROXABAN","APOTEX","","Approval"
"03/02/2026","SODIUM ACETATEANDA  #218469","SUPPL-2","SODIUM ACETATE","AMNEAL","Manufacturing (CMC)","Approval"
"03/02/2026","OXCARBAZEPINEANDA  #219556","ORIG-1","OXCARBAZEPINE","EPIC PHARMA LLC","","Approval"
"03/02/2026","BRIMONIDINE TARTRATEANDA  #220091","ORIG-1","BRIMONIDINE TARTRATE","GLAND PHARMA LIMITED","","Tentative Approval"
"03/03/2026","TRACLEERNDA   #021290","SUPPL-50","BOSENTAN","ACTELION","REMS","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065222","SUPPL-14","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065222","SUPPL-18","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065222","SUPPL-20","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065222","SUPPL-22","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065314","SUPPL-11","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065314","SUPPL-14","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065314","SUPPL-18","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","AMPICILLIN AND SULBACTAMANDA  #065314","SUPPL-20","AMPICILLIN SODIUM; SULBACTAM SODIUM","ISTITUTO BIO ITA SPA","Labeling","Approval"
"03/03/2026","LETROZOLEANDA  #078190","SUPPL-5","LETROZOLE","PHARMOBEDIENT","Labeling","Approval"
"03/03/2026","LETROZOLEANDA  #078190","SUPPL-10","LETROZOLE","PHARMOBEDIENT","Labeling","Approval"
"03/03/2026","BOSENTANANDA  #205699","SUPPL-8","BOSENTAN","PH HEALTH","REMS","Approval"
"03/03/2026","BOSENTANANDA  #206987","SUPPL-11","BOSENTAN","NATCO PHARMA LTD","REMS","Approval"
"03/03/2026","BOSENTANANDA  #207110","SUPPL-13","BOSENTAN","WATSON LABS INC","REMS","Approval"
"03/03/2026","BOSENTANANDA  #207760","SUPPL-16","BOSENTAN","ZYDUS PHARMS","REMS","Approval"
"03/03/2026","TRACLEERNDA   #209279","SUPPL-17","BOSENTAN","ACTELION","REMS","Approval"
"03/03/2026","BOSENTANANDA  #209324","SUPPL-20","BOSENTAN","SUN PHARM","REMS","Approval"
"03/03/2026","BOSENTANANDA  #209742","SUPPL-16","BOSENTAN","AMNEAL PHARMS CO","REMS","Approval"
"03/03/2026","BOSENTANANDA  #213154","SUPPL-7","BOSENTAN","NATCO PHARMA LTD","REMS","Approval"
"03/03/2026","BOSENTANANDA  #213981","SUPPL-1","BOSENTAN","ZYDUS PHARMS","REMS","Approval"
"03/03/2026","FLUTICASONE PROPIONATEANDA  #219602","ORIG-1","FLUTICASONE PROPIONATE","GLENMARK SPECLT","","Approval"
"03/04/2026","BALNDA   #005939","SUPPL-17","DIMERCAPROL","PROVEPHARM SAS","Labeling","Approval"
